Projeto;Alunos_Aceitos;Vagas_Totais;Taxa_Ocupacao;Primeira_Escolha;Segunda_Escolha;Terceira_Escolha;Indice_Preferencia;Media_Notas
P8;2;2;100.0;13;7;15;68;5.0
P4;1;1;100.0;8;13;9;59;5.0
P2;1;1;100.0;14;4;8;58;5.0
P7;2;2;100.0;13;8;0;55;5.0
P1;2;2;100.0;10;7;10;54;5.0
P3;2;2;100.0;7;14;4;53;5.0
P27;3;3;100.0;6;14;4;50;5.0
P9;2;2;100.0;6;6;12;42;4.0
P30;1;1;100.0;5;10;3;38;5.0
P5;2;2;100.0;6;0;19;37;4.0
P6;1;2;50.0;11;1;0;35;5.0
P10;3;3;100.0;6;1;14;34;4.333333333333333
P20;1;1;100.0;0;15;3;33;5.0
P38;1;1;100.0;7;2;8;33;5.0
P37;1;1;100.0;10;0;2;32;5.0
P21;1;1;100.0;2;11;0;28;5.0
P29;2;2;100.0;0;12;0;24;4.0
P18;2;2;100.0;4;0;10;22;5.0
P12;1;1;100.0;5;3;0;21;5.0
P28;1;1;100.0;2;1;12;20;5.0
P26;2;2;100.0;6;0;1;19;4.0
P40;1;1;100.0;2;5;3;19;5.0
P39;1;1;100.0;3;1;4;15;5.0
P36;2;2;100.0;5;0;0;15;4.0
P11;1;1;100.0;4;1;0;14;4.0
P48;1;1;100.0;0;5;3;13;5.0
P15;2;2;100.0;1;0;9;12;4.0
P17;1;1;100.0;0;6;0;12;4.0
P22;1;1;100.0;1;3;0;9;4.0
P35;1;1;100.0;2;0;1;7;4.0
P25;1;1;100.0;0;0;7;7;4.0
P41;2;2;100.0;2;0;0;6;5.0
P16;1;1;100.0;1;1;0;5;4.0
P34;1;1;100.0;0;1;1;3;5.0
