Aluno;Projeto_Emparelhado;Rank_Aluno;Rank_Projeto;Nota_Aluno;Requisito_Projeto;Vagas_Projeto;Alunos_Aceitos
A1;P1;1;1;5;5;2;2
A2;P1;1;2;5;5;2;2
A6;P9;2;2;4;4;2;2
A8;P6;1;1;5;5;2;1
A10;P10;3;3;4;4;3;3
A1;P15;3;2;4;4;2;2
A18;P8;1;1;5;5;2;2
A23;P9;1;1;4;4;2;2
A2;P10;1;2;4;4;3;3
A31;P12;1;1;5;3;1;1
A32;P2;1;1;5;5;1;1
A33;P3;1;1;5;4;2;2
A34;P4;1;1;5;5;1;1
A3;P48;2;1;5;5;1;1
A2;P16;1;1;4;4;1;1
A5;P11;1;1;4;3;1;1
A8;P26;1;1;4;4;2;2
A55;P35;1;1;4;4;1;1
A56;P36;1;1;4;4;2;2
A60;P3;1;2;5;4;2;2
A61;P37;1;1;5;3;1;1
A62;P38;1;1;5;5;1;1
A63;P39;1;1;5;3;1;1
A64;P30;1;1;5;4;1;1
A68;P36;1;2;4;4;2;2
A69;P29;2;1;4;4;2;2
A81;P27;1;1;5;5;3;3
A82;P27;2;3;5;5;3;3
A83;P27;1;2;5;5;3;3
A84;P40;2;1;5;4;1;1
A8;P34;3;1;5;4;1;1
A93;P26;1;2;4;4;2;2
A100;P20;3;1;5;4;1;1
A10;P25;3;1;4;4;1;1
A107;P41;1;1;5;4;2;2
A108;P5;1;1;4;4;2;2
A117;P7;1;1;5;5;2;2
A127;P28;1;1;5;3;1;1
A129;P29;2;2;4;4;2;2
A135;P15;1;1;4;4;2;2
A137;P21;2;1;5;4;1;1
A1;P22;1;1;4;4;1;1
A155;P5;1;2;4;4;2;2
A17;P18;3;1;5;4;2;2
A161;P17;2;1;4;3;1;1
A177;P18;3;2;5;4;2;2
A187;P7;1;2;5;5;2;2
A188;P8;1;2;5;5;2;2
A197;P41;1;2;5;4;2;2
A200;P10;2;1;5;4;3;3
